,Performance Inputs,,,Units,Active,User Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas - Distributed,,3.0,2013.0,,CAISO_CCGT1,Gas - CCGT
,(by component),,Interconnection,$/MWh,0.0,,,0.0,0.0,2.6485315148226247,3.2165379960441984,5.562071149648225,3.3875420642151624,2.4131911472657084,8.647747605994114,11.726154366481177,11.727936915491455,7.115062407118078,7.112831963124666,7.111707542959246,7.110576934749287,6.037022648463822,6.03513015053002,6.03417609705633,6.033216793120606,4.255182447881741,6.626107062856168,0.0,0.0,0.0,0.0,0.0,0.0,1.8904378890014861,14.17828416751115,14.17828416751115,14.17828416751115,,,,,,,,,Waste,%/yr,0.02,,,
,,,Property Tax,$/MWh,9.143379386294212,,,9.143379386294212,5.197244326324289,4.938462979707118,4.187932292002501,7.781379835947008,16.854534951072385,16.378623052221634,8.356467094245454,13.434950950896631,14.980301304548346,6.25338256775142,5.812390456007188,5.316683381730866,5.135044205999518,5.1282970011685265,4.798435364173012,4.4666807094165275,4.3347775764931,4.787425820008727,6.544863077904322,1.2577934353945524,3.896693388859226,12.426075390640952,1.7142996987199661,7.082220686188061,0.7082220686188064,1.4257142071550204,7.814010558445789,10.281592840060243,10.281592840060243,,,,,,,,,Wood,%/yr,0.02,,,
,,,ITC,$/MWh,0.0,,,0.0,0.0,0.0,0.0,0.0,-112.32767432917863,-109.09235574991084,-50.66503650735983,-81.29733873873816,-90.59010188910557,-37.93885556795791,-35.30968488150084,-32.3196110408673,-31.236091511880844,-31.113036365354596,-29.150010123302902,-27.152525890133028,-26.36812919834097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Fixed O&M,$/MWh,56.06291222729579,,,56.06291222729579,70.23905452591997,24.933731130808475,27.67400027674001,8.181410606011998,30.739726027397264,21.894391757405458,16.681478353244767,23.13832744864759,23.139155060545704,12.478699993279356,11.18698607278612,9.89581833452883,9.465218376764021,12.413503023617496,10.952294057273123,10.221767555033736,9.49129335851819,12.480974124809729,13.087084148727998,1.745640579908676,5.408062974124809,44.995390810502286,6.207558097412481,17.899543378995425,0.0,1.5220700152207003,6.849315068493152,13.698630136986305,13.698630136986305,,,,,,,,,,,,,,
,,,Periodic Replacement,$/MWh,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17237508914912,25.318338516511513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Variable O&M,$/MWh,0.0,,,0.0,0.0,9.089010809999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8799999999999972,3.830000000000004,0.00125,0.00125,0.0012499999999999998,0.0012499999999999998,0.0012499999999999992,0.0012499999999999992,5.000000000000002,5.000000000000002,5.000000000000002,5.000000000000002,,,,,,,,,,,,,,
,,,Fuel,$/MWh,-50.0,,,-50.0,38.35494,33.84809999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.60340000000001,85.03440000000003,65.90166000000002,65.90166000000002,,,,,,,,,,,,,,
,,,Carbon,$/MWh,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,PTC,$/MWh,-15.768008156186808,,,-15.768008156186808,-28.383110189454232,-28.319334266360926,-26.937598428744607,-15.768008156186808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.408587197039285,-26.378889078227843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,Total,$/MWh,121.92051790061265,,,121.92051790061265,167.34631997685258,125.16268327819051,70.89744968506629,139.88808223142422,193.8224420083505,179.6793460166361,96.6952988269171,150.02277084151476,163.42677067256597,72.93328516525196,67.75495840110095,62.18842977938798,60.158401966175,62.1933978976524,57.815255074397456,54.213568246789684,52.315022262716845,62.744461315534046,87.51982282682751,24.333485282088624,75.38346912419169,200.80229948224357,27.703735926435957,98.85960034416856,8.097130696517311,84.01731466839655,253.56970938580608,286.2887192384472,286.2887192384472,,,,,,,,,,,,,,
